"Article","Domain","FileTitle","License","Artist","DescriptionUrl","SourceUrl","RemoteSha1","ManifestSha1","CachePath","Bytes","VerifiedUtc","Decision"
"Pregnancy","Medicine","File:10 weeks pregnant.png","CC BY-SA 2.5","Melchior Meijer","https://commons.wikimedia.org/wiki/File:10_weeks_pregnant.png","https://upload.wikimedia.org/wikipedia/commons/c/c4/10_weeks_pregnant.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","c3b6c0195937fd81623bbe257e25c12cc460122a","c3b6c0195937fd81623bbe257e25c12cc460122a","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/c/4/8/c/10_weeks_pregnant.png","8892","2026-08-10T18:51:39.4369469Z","INCLUDE"
"Human brain","Medicine","File:1605 Brocas and Wernickes Areas-02.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:1605_Brocas_and_Wernickes_Areas-02.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b6/1605_Brocas_and_Wernickes_Areas-02.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","248ada5fedc5d295c1ec6f7638211936bec9d7d4","248ada5fedc5d295c1ec6f7638211936bec9d7d4","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/b/6/c/7/1605_Brocas_and_Wernickes_Areas-02.jpg","339292","2026-08-10T18:51:37.7612645Z","INCLUDE"
"Transistor","Electrical","File:1957(Figure 9)-Gate oxide transistor by Frosch and Derrick.png","CC BY-SA 4.0","Wikain","https://commons.wikimedia.org/wiki/File:1957(Figure_9)-Gate_oxide_transistor_by_Frosch_and_Derrick.png","https://upload.wikimedia.org/wikipedia/commons/7/75/1957%28Figure_9%29-Gate_oxide_transistor_by_Frosch_and_Derrick.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","61a923fd14defa39bc4abc5cbf309302ac95243e","61a923fd14defa39bc4abc5cbf309302ac95243e","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/7/5/1/a/1957(Figure_9)-Gate_oxide_transistor_by_Frosch_and_Derrick.png","26358","2026-08-10T18:52:00.4764038Z","INCLUDE"
"Internal combustion engine","Engineering","File:1970 AMX BBG-2part3.JPG","Public domain","CZmarlin — Christopher Ziemnowicz, releases all rights but a photo credit would be nice if this image is used anywhere other than Wikipedia.","https://commons.wikimedia.org/wiki/File:1970_AMX_BBG-2part3.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/1970_AMX_BBG-2part3.JPG/1920px-1970_AMX_BBG-2part3.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","9f7749b3c6f113dadaf394f454d1e10c6a0d6362","9f7749b3c6f113dadaf394f454d1e10c6a0d6362","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/e/7/1/5/1970_AMX_BBG-2part3.JPG","489554","2026-08-10T18:51:40.3588087Z","INCLUDE"
"Pregnancy","Medicine","File:20 weeks pregnant.png","CC BY-SA 2.5","","https://commons.wikimedia.org/wiki/File:20_weeks_pregnant.png","https://upload.wikimedia.org/wikipedia/commons/3/3f/20_weeks_pregnant.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","820860d22c1bb925b26de665b7315810f7b87c68","820860d22c1bb925b26de665b7315810f7b87c68","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/f/a/9/20_weeks_pregnant.png","10386","2026-08-10T18:51:39.4369469Z","EXCLUDE_MISSING_CREDIT"
"Heart","Medicine","File:2004 Heart Wall.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2004_Heart_Wall.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/2004_Heart_Wall.jpg/1920px-2004_Heart_Wall.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","0d6cfd82e0bb64f6352e0a96bb257e537165e362","0d6cfd82e0bb64f6352e0a96bb257e537165e362","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/5/9/1/2004_Heart_Wall.jpg","542693","2026-08-10T18:51:37.7586612Z","INCLUDE"
"Beekeeping","Agriculture","File:20140905-AMS-LSC-0334 (14965637958).jpg","Public domain","U.S. Department of Agriculture Lance Cheung/Multimedia PhotoJournalist","https://commons.wikimedia.org/wiki/File:20140905-AMS-LSC-0334_(14965637958).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/20140905-AMS-LSC-0334_%2814965637958%29.jpg/1920px-20140905-AMS-LSC-0334_%2814965637958%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","b66647898947ed96a8566bfb2fb4efb9c39a83ea","b66647898947ed96a8566bfb2fb4efb9c39a83ea","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/4/4/6/1/20140905-AMS-LSC-0334_(14965637958).jpg","642538","2026-08-10T18:51:35.8279206Z","INCLUDE"
"Heart","Medicine","File:2027 Phases of the Cardiac Cycle.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2027_Phases_of_the_Cardiac_Cycle.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/2027_Phases_of_the_Cardiac_Cycle.jpg/1920px-2027_Phases_of_the_Cardiac_Cycle.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","d7c0faaef1c387aea7c6d93f416a269d646f8c99","d7c0faaef1c387aea7c6d93f416a269d646f8c99","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/8/9/a/2027_Phases_of_the_Cardiac_Cycle.jpg","1242756","2026-08-10T18:51:37.2901914Z","INCLUDE"
"Heart","Medicine","File:2028 Cardiac Cycle vs Electrocardiogram.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2028_Cardiac_Cycle_vs_Electrocardiogram.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8d/2028_Cardiac_Cycle_vs_Electrocardiogram.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled","4939ae8d92f971acd519cd83c9d667ea5f1ef689","4939ae8d92f971acd519cd83c9d667ea5f1ef689","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/8/d/6/b/2028_Cardiac_Cycle_vs_Electrocardiogram.jpg","242777","2026-08-10T18:51:37.2901914Z","INCLUDE"
"Heart","Medicine","File:2029 Cardiac Cycle vs Heart Sounds.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2029_Cardiac_Cycle_vs_Heart_Sounds.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f3/2029_Cardiac_Cycle_vs_Heart_Sounds.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled","7804d1b41124c96078af2e71ca12940b8488747e","7804d1b41124c96078af2e71ca12940b8488747e","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/f/3/0/7/2029_Cardiac_Cycle_vs_Heart_Sounds.jpg","417867","2026-08-10T18:51:37.2901914Z","INCLUDE"
"Heart","Medicine","File:2037 Embryonic Development of Heart.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2037_Embryonic_Development_of_Heart.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/2037_Embryonic_Development_of_Heart.jpg/1920px-2037_Embryonic_Development_of_Heart.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","b827d86b26752073f69c692332e2b01c83a6fdec","b827d86b26752073f69c692332e2b01c83a6fdec","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/7/4/6/9/2037_Embryonic_Development_of_Heart.jpg","1268404","2026-08-10T18:51:37.2922744Z","INCLUDE"
"Circulatory system","Medicine","File:2101 Blood Flow Through the Heart.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2101_Blood_Flow_Through_the_Heart.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/2101_Blood_Flow_Through_the_Heart.jpg/1920px-2101_Blood_Flow_Through_the_Heart.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","8b8b0fbc51634078bbcf93b75762143a4a80cd47","8b8b0fbc51634078bbcf93b75762143a4a80cd47","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/f/2/c/6/2101_Blood_Flow_Through_the_Heart.jpg","247449","2026-08-10T18:51:37.2871663Z","INCLUDE"
"Liver","Medicine","File:2104 Three Major Capillary Types.jpg","CC BY 4.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2104_Three_Major_Capillary_Types.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/2104_Three_Major_Capillary_Types.jpg/1920px-2104_Three_Major_Capillary_Types.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","e88ebb430077bb75e4c26eec40e05afd2ab928fd","e88ebb430077bb75e4c26eec40e05afd2ab928fd","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/8/d/6/6/2104_Three_Major_Capillary_Types.jpg","131107","2026-08-10T18:51:38.9635012Z","INCLUDE"
"Beehive","Agriculture","File:2530 NRCS projects (39135370222).jpg","Public domain","USDA NRCS","https://commons.wikimedia.org/wiki/File:2530_NRCS_projects_(39135370222).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/2530_NRCS_projects_%2839135370222%29.jpg/1280px-2530_NRCS_projects_%2839135370222%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","9abbbe813d3b8c202ded9dc62ddeb5cb8e17a70a","9abbbe813d3b8c202ded9dc62ddeb5cb8e17a70a","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/8/b/3/f/2530_NRCS_projects_(39135370222).jpg","469421","2026-08-10T18:51:35.8031981Z","INCLUDE"
"Pregnancy","Medicine","File:2904 Preembryonic Development-02.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:2904_Preembryonic_Development-02.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/2904_Preembryonic_Development-02.jpg/1920px-2904_Preembryonic_Development-02.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","bf32ce2bdd43df5dc92052915f816e9f912a3b65","bf32ce2bdd43df5dc92052915f816e9f912a3b65","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/7/5/2/9/2904_Preembryonic_Development-02.jpg","465797","2026-08-10T18:51:39.4359413Z","INCLUDE"
"Inductor","Electrical","File:3Com OfficeConnect ADSL Wireless 11g Firewall Router 2012-10-28-0869.jpg","CC0","Slick","https://commons.wikimedia.org/wiki/File:3Com_OfficeConnect_ADSL_Wireless_11g_Firewall_Router_2012-10-28-0869.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/3Com_OfficeConnect_ADSL_Wireless_11g_Firewall_Router_2012-10-28-0869.jpg/1920px-3Com_OfficeConnect_ADSL_Wireless_11g_Firewall_Router_2012-10-28-0869.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","84f87b858154cf29e76b521301706840b4ed42e9","84f87b858154cf29e76b521301706840b4ed42e9","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/c/a/8/c/3Com_OfficeConnect_ADSL_Wireless_11g_Firewall_Router_2012-10-28-0869.jpg","436158","2026-08-10T18:52:00.4723925Z","INCLUDE"
